Family	Genus	Scientific name	Adult survival	Age at first breeding	Maximum longevity	Z	GenFLS	GenFL	GenFS	GenLength	Priority for research
Struthionidae	Struthio	Struthio camelus	0,868427647	3,646049669	50	0,235975137	10,18432187	14,58442945	10,24643058	14,58442945	Low
Struthionidae	Struthio	Struthio molybdophanes	0,868427647	3,5	50	0,235975137	10,0382722	14,47284387	10,10038091	14,47284387	Low
Rheidae	Rhea	Rhea americana	0,308668286	2,068374004	50	0,193790565	2,514857624	11,35707089	2,514857624	11,35707089	Low
Rheidae	Rhea	Rhea pennata	0,326367207	3	29,50798368	0,235975137	3,4844883	9,25522508	3,4844883	9,25522508	Low
Rheidae	Rhea	Rhea tarapacensis	0,326367207	2,5	50	0,235975137	2,9844883	13,70881901	2,9844883	13,70881901	Low
Tinamidae	Nothocercus	Nothocercus julius	0,838904204	2,116066953	16,34917762	0,193790565	6,16450584	4,874309511	7,323553584	6,16450584	Low
Tinamidae	Nothocercus	Nothocercus bonapartei	0,744175911	1,857065594	14,84544285	0,193790565	4,538711435	4,374090561	4,766001629	4,538711435	Low
Tinamidae	Nothocercus	Nothocercus nigrocapillus	0,758453468	1,888184015	16,83490155	0,193790565	4,833985142	4,784716851	5,028173075	4,833985142	Low
Tinamidae	Tinamus	Tinamus tao	0,79654557	2,233546947	18,16150727	0,193790565	5,78539734	5,320235377	6,148652507	5,78539734	Low
Tinamidae	Tinamus	Tinamus solitarius	0,62381028	1,532464924	15	0,193790565	3,171755033	4,142346156	3,190698115	4,142346156	Low
Tinamidae	Tinamus	Tinamus osgoodi	0,874461001	2,805074826	21,11064532	0,235975137	8,159437279	7,124734331	9,770726998	8,159437279	Low
Tinamidae	Tinamus	Tinamus major	0,805856763	2,211198113	17,07751515	0,193790565	5,839391169	5,092150091	6,362034245	5,839391169	Low
Tinamidae	Tinamus	Tinamus guttatus	0,709420525	1,942761613	16,08901513	0,193790565	4,296627367	4,684172075	4,384160907	4,684172075	Low
Tinamidae	Crypturellus	Crypturellus berlepschi	0,826197831	2,010196321	15,66964196	0,193790565	5,856328867	4,657268009	6,763864447	5,856328867	Low
Tinamidae	Crypturellus	Crypturellus cinereus	0,809279655	2,399819702	17,81259548	0,193790565	6,164260205	5,386670228	6,643098808	6,164260205	Low
Tinamidae	Crypturellus	Crypturellus ptaritepui	0,814904938	1,92380231	15,10223528	0,193790565	5,480975945	4,477658281	6,326431582	5,480975945	Low
Tinamidae	Crypturellus	Crypturellus soui	0,794792775	1,899519281	13,95755572	0,193790565	5,081209652	4,236252975	5,772642048	5,081209652	Low
Tinamidae	Crypturellus	Crypturellus obsoletus	0,76671403	1,874309998	15,19449899	0,193790565	4,812828802	4,455636949	5,160894399	4,812828802	Low
Tinamidae	Crypturellus	Crypturellus undulatus	0,735025566	2,019948816	16,21830113	0,193790565	4,644295641	4,771455533	4,793897815	4,771455533	Low
Tinamidae	Crypturellus	Crypturellus strigulosus	0,781206236	1,93707895	14,97060929	0,193790565	5,051806531	4,462854159	5,507593126	5,051806531	Low
Tinamidae	Crypturellus	Crypturellus duidae	0,820572404	1,936678973	15,02185113	0,193790565	5,572588155	4,472461878	6,509957679	5,572588155	Low
Tinamidae	Crypturellus	Crypturellus erythropus	0,815757949	2,142693768	15,92709911	0,193790565	5,828200564	4,813981467	6,570336342	5,828200564	Low
Tinamidae	Crypturellus	Crypturellus noctivagus	0,758551243	1,932858872	17,3741855	0,193790565	4,879930694	4,925242284	5,074524426	4,925242284	Low
Tinamidae	Crypturellus	Crypturellus atrocapillus	0,810503173	1,959757913	15,7334635	0,193790565	5,566383286	4,628972101	6,236891129	5,566383286	Low
Tinamidae	Crypturellus	Crypturellus occidentalis	0,809868545	2,909140695	25,30769231	0,235975137	6,987244285	8,194641981	7,168659695	8,194641981	Low
Tinamidae	Crypturellus	Crypturellus cinnamomeus	0,809868545	2,084764271	16,30921496	0,193790565	5,681953406	4,841328607	6,344283271	5,681953406	Low
Tinamidae	Crypturellus	Crypturellus transfasciatus	0,760595837	1,783384219	13,50365432	0,193790565	4,578910599	4,054661984	4,960421023	4,578910599	Low
Tinamidae	Crypturellus	Crypturellus boucardi	0,765831995	1,86778589	14,98941975	0,193790565	4,795858713	4,410634729	5,138224117	4,795858713	Low
Tinamidae	Crypturellus	Crypturellus kerriae	0,813664453	1,92380231	15,15369062	0,193790565	5,463903199	4,48762984	6,29046485	5,463903199	Low
Tinamidae	Crypturellus	Crypturellus variegatus	0,824320611	2,447681257	17,69804868	0,193790565	6,478159022	5,403058576	7,139868631	6,478159022	Low
Tinamidae	Crypturellus	Crypturellus brevirostris	0,818392447	1,92380231	14,95707967	0,193790565	5,529284556	4,449528493	6,430181221	5,529284556	Low
Tinamidae	Crypturellus	Crypturellus bartletti	0,790246003	1,735271846	13,71049261	0,193790565	4,863465496	4,055956644	5,50276145	4,863465496	Low
Tinamidae	Crypturellus	Crypturellus casiquiare	0,818973581	1,92380231	14,93281925	0,193790565	5,537378548	4,444827053	6,44785789	5,537378548	Low
Tinamidae	Crypturellus	Crypturellus parvirostris	0,682413307	1,515542826	13,67202724	0,193790565	3,5731735	3,871354809	3,664289364	3,871354809	Low
Tinamidae	Crypturellus	Crypturellus tataupa	0,729748229	1,630869437	13,26209369	0,193790565	4,051045551	3,884890957	4,331122709	4,051045551	Low
Tinamidae	Rhynchotus	Rhynchotus rufescens	0,837782645	2,389456129	18,80449497	0,193790565	6,777827378	5,57053578	7,554024649	6,777827378	Low
Tinamidae	Rhynchotus	Rhynchotus maculicollis	0,830349837	2,20925119	17,94423138	0,193790565	6,350887059	5,258541891	7,10373418	6,350887059	Low
Tinamidae	Nothoprocta	Nothoprocta taczanowskii	0,813400576	1,97800436	15,83801369	0,193790565	5,627958979	4,663943399	6,337077708	5,627958979	Low
Tinamidae	Nothoprocta	Nothoprocta ornata	0,671866561	1,623395284	15,62278604	0,193790565	3,632347935	4,336345128	3,670935952	4,336345128	Low
Tinamidae	Nothoprocta	Nothoprocta perdicaria	0,697362409	1,615659618	14,68536167	0,193790565	3,829295439	4,148444563	3,919941802	4,148444563	Low
Tinamidae	Nothoprocta	Nothoprocta cinerascens	0,571763237	1,34049422	11,48567774	0,142143345	2,65211685	2,782564541	2,675651045	2,782564541	Low
Tinamidae	Nothoprocta	Nothoprocta pentlandii	0,626137238	1,408095456	13,77308158	0,142143345	3,062915603	3,165695945	3,082873748	3,165695945	Low
Tinamidae	Nothoprocta	Nothoprocta curvirostris	0,812473102	1,890624381	14,79502842	0,193790565	5,414383638	4,391376131	6,223192725	5,414383638	Low
Tinamidae	Nothura	Nothura boraquira	0,760595837	1,783384219	7,248541944	0,193790565	3,519869514	2,842480222	4,960421023	3,519869514	Low
Tinamidae	Nothura	Nothura minor	0,760544201	1,6145639	6,213586649	0,193790565	3,084137081	2,505811117	4,790699973	3,084137081	Low
Tinamidae	Nothura	Nothura darwinii	0,717746446	1,603732461	7,173798687	0,193790565	3,196424474	2,683158742	4,14664622	3,196424474	Low
