Sample	Depth	Sex	Ploidy	Bam
TT95866	32.9902	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95866_qsorted_merged_nodup_filtered_sorted.bam
TT95867	29.0134	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95867_qsorted_merged_nodup_filtered_sorted.bam
TT95871	34.8633	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95871_qsorted_merged_nodup_filtered_sorted.bam
TT95873	26.9186	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95873_qsorted_merged_nodup_filtered_sorted.bam
TT95875	32.4773	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95875_qsorted_merged_nodup_filtered_sorted.bam
TT95876	26.9885	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95876_qsorted_merged_nodup_filtered_sorted.bam
TT95878	30.675	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95878_qsorted_merged_nodup_filtered_sorted.bam
TT95879	26.4923	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95879_qsorted_merged_nodup_filtered_sorted.bam
TT95880	34.4399	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95880_qsorted_merged_nodup_filtered_sorted.bam
TT95881	29.45	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95881_qsorted_merged_nodup_filtered_sorted.bam
TT95882	20.4391	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95882_qsorted_merged_nodup_filtered_sorted.bam
TT95884	29.2073	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95884_qsorted_merged_nodup_filtered_sorted.bam
TT95885	38.3392	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95885_qsorted_merged_nodup_filtered_sorted.bam
TT95887	30.0794	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95887_qsorted_merged_nodup_filtered_sorted.bam
TT95888	30.6923	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95888_qsorted_merged_nodup_filtered_sorted.bam
TT95889	36.6734	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/TT95889_qsorted_merged_nodup_filtered_sorted.bam
246	19.8576	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/246_qsorted_merged_nodup_filtered_sorted.bam
95694	23.0771	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Rasolark_2021/A5_align_reads/95694_qsorted_merged_nodup_filtered_sorted.bam
