Sample	Depth	Sex	Ploidy	Bam
Aarv-444-IT	33.8966	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-444-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-249-IT	33.8424	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-249-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-252-IT	45.87	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-252-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-441-IT	36.6804	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-441-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-460-IT	27.2303	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-460-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-389-IT	29.2892	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-389-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-449-IT	28.2883	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-449-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-939-IT	49.4503	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-939-IT_qsorted_merged_nodup_filtered_sorted.bam
Aarv-052-NL	39.8359	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-052-NL_qsorted_merged_nodup_filtered_sorted.bam
Aarv-475-NL	33.1123	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-475-NL_qsorted_merged_nodup_filtered_sorted.bam
Aarv-504-NL	47.1749	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-504-NL_qsorted_merged_nodup_filtered_sorted.bam
Aarv-621-NL	38.0016	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-621-NL_qsorted_merged_nodup_filtered_sorted.bam
Aarv-043-NL	29.6361	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-043-NL_qsorted_merged_nodup_filtered_sorted.bam
Aarv-313-NL	43.4587	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-313-NL_qsorted_merged_nodup_filtered_sorted.bam
Aarv-558-NL	34.5262	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-558-NL_qsorted_merged_nodup_filtered_sorted.bam
Aarv-618-NL	34.9477	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/Aarv-618-NL_qsorted_merged_nodup_filtered_sorted.bam
19	30.4058	HETGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/19_qsorted_merged_nodup_filtered_sorted.bam
21	30.4833	HOMGAM	2	/crex/proj/snic2020-2-25/nobackup/simon/Sylvioidea/data/Skylark_2021/A5_align_reads/21_qsorted_merged_nodup_filtered_sorted.bam
