ID	Species	Sex	Population	PCR-free	Library	Raw_path
Aarv-444-IT	Alauda arvensis	Female	IT	Yes	SJ-2333	
Aarv-249-IT	Alauda arvensis	Female	IT	Yes	SJ-2333	
Aarv-252-IT	Alauda arvensis	Female	IT	Yes	SJ-2333	
Aarv-441-IT	Alauda arvensis	Female	IT	Yes	SJ-2333	
Aarv-460-IT	Alauda arvensis	Female	IT	Yes	SJ-2333	
Aarv-389-IT	Alauda arvensis	Male	IT	Yes	SJ-2333	
Aarv-449-IT	Alauda arvensis	Male	IT	Yes	SJ-2333	
Aarv-939-IT	Alauda arvensis	Male	IT	Yes	SJ-2333	
Aarv-052-NL	Alauda arvensis	Female	NL	No	SJ-2333	
Aarv-475-NL	Alauda arvensis	Female	NL	No	SJ-2333	
Aarv-504-NL	Alauda arvensis	Female	NL	No	SJ-2333	
Aarv-621-NL	Alauda arvensis	Female	NL	No	SJ-2333	
Aarv-043-NL	Alauda arvensis	Male	NL	No	SJ-2333	
Aarv-313-NL	Alauda arvensis	Male	NL	No	SJ-2333	
Aarv-558-NL	Alauda arvensis	Male	NL	No	SJ-2333	
Aarv-618-NL	Alauda arvensis	Male	NL	No	SJ-2333	
19	Alauda arvensis	Female	IT	Yes	QL-1681	
21	Alauda arvensis	Male	IT	Yes	QL-1681	
