Gene name	Human gene stable ID	Human gene name	Query protein or transcript ID	Human homology type	Human orthology confidence [0 low, 1 high]
DCBLD2	ENSG00000057019	DCBLD2	ENSTGUP00000014044	ortholog_one2one	1
CMSS1	ENSG00000184220	CMSS1	ENSTGUP00000014042	ortholog_one2one	1
					
FILIP1L	ENSG00000168386	FILIP1L	ENSTGUP00000018325	ortholog_one2one	1
					
TBC1D23	ENSG00000036054	TBC1D23	ENSTGUP00000014040	ortholog_one2one	1
NIT2	ENSG00000114021	NIT2	ENSTGUP00000026099	ortholog_one2one	1
TOMM70	ENSG00000154174	TOMM70	ENSTGUP00000014038	ortholog_one2one	1
					
TMEM45A	ENSG00000181458	TMEM45A	ENSTGUP00000021073	ortholog_one2one	1
TFG	ENSG00000114354	TFG	ENSTGUP00000014035	ortholog_one2one	1
ABI3BP	ENSG00000154175	ABI3BP	ENSTGUP00000029767	ortholog_one2one	1
					
					
IMPG2	ENSG00000081148	IMPG2	ENSTGUP00000014030	ortholog_one2one	1
SENP7	ENSG00000138468	SENP7	ENSTGUP00000029178	ortholog_one2one	1
					
					
TXNL4B	ENSG00000140830	TXNL4B	ENSTGUP00000030427	ortholog_one2one	1
TRMT10C	ENSG00000174173	TRMT10C	ENSTGUP00000014026	ortholog_one2one	1
PCNP	ENSG00000081154	PCNP	ENSTGUP00000019205	ortholog_one2one	1
ZBTB11	ENSG00000066422	ZBTB11	ENSTGUP00000014024	ortholog_one2one	1
RPL24	ENSG00000114391	RPL24	ENSTGUP00000020379	ortholog_one2one	1
CEP97	ENSG00000182504	CEP97	ENSTGUP00000031844	ortholog_one2one	1
NFKBIZ	ENSG00000144802	NFKBIZ	ENSTGUP00000025086	ortholog_one2one	1
ZPLD1	ENSG00000170044	ZPLD1	ENSTGUP00000014018	ortholog_one2one	1
ALCAM	ENSG00000170017	ALCAM	ENSTGUP00000014017	ortholog_one2one	1
CBLB	ENSG00000114423	CBLB	ENSTGUP00000014016	ortholog_one2one	1
					
BBX	ENSG00000114439	BBX	ENSTGUP00000014015	ortholog_one2one	1
					
					
IFT57	ENSG00000114446	IFT57	ENSTGUP00000023227	ortholog_one2one	1
HHLA2	ENSG00000114455	HHLA2	ENSTGUP00000014012	ortholog_one2one	1
	ENSG00000078814	MYH7B	ENSTGUP00000014011	ortholog_one2one	0
					
CIP2A	ENSG00000163507	CIP2A	ENSTGUP00000014010	ortholog_one2one	1
					
TRAT1	ENSG00000163519	TRAT1	ENSTGUP00000014007	ortholog_one2one	1
	ENSG00000123485	HJURP	ENSTGUP00000014005	ortholog_one2one	0
GUCA1C	ENSG00000138472	GUCA1C	ENSTGUP00000031885	ortholog_one2one	1
					
NECTIN3	ENSG00000177707	NECTIN3	ENSTGUP00000019437	ortholog_one2one	1
CD96	ENSG00000153283	CD96	ENSTGUP00000014002	ortholog_one2one	1
PLCXD2	ENSG00000240891	PLCXD2	ENSTGUP00000028600	ortholog_one2one	1
					
PHLDB2	ENSG00000144824	PHLDB2	ENSTGUP00000013999	ortholog_one2one	1
ABHD10	ENSG00000144827	ABHD10	ENSTGUP00000013998	ortholog_one2one	1
TAGLN3	ENSG00000144834	TAGLN3	ENSTGUP00000013997	ortholog_one2one	1
TMPRSS7	ENSG00000176040	TMPRSS7	ENSTGUP00000013996	ortholog_one2one	1
					
	ENSG00000198092	TMPRSS11F	ENSTGUP00000032375	ortholog_many2many	0
	ENSG00000005001	PRSS22	ENSTGUP00000032375	ortholog_many2many	0
	ENSG00000185873	TMPRSS11B	ENSTGUP00000032375	ortholog_many2many	0
	ENSG00000187054	TMPRSS11A	ENSTGUP00000032375	ortholog_many2many	0
	ENSG00000153802	TMPRSS11D	ENSTGUP00000032375	ortholog_many2many	0
	ENSG00000198092	TMPRSS11F	ENSTGUP00000015507	ortholog_many2many	0
